episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,agent_elo,adver_elo,agent_goal,adver_goal
597,8,299,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16362065325180689,0.2672102724512418,0.7396420836448669,2.8636980056762695,0.007837939973493727,0.5429148425658544,0.5098922252655029,87.72362518310547,720.2973909514806,1279.7026090485178,4,0.30000000000000004
598,8,300,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.15949957321087518,0.7621965408325195,0.6359694004058838,4.5576372146606445,0.007844049643608741,1.1734398404757183,0.3337004482746124,79.50814056396484,719.0681822677285,1280.9318177322698,4,0.30000000000000004
599,8,301,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16355071465174356,0.0054405386714885635,0.6135077476501465,3.313896656036377,0.007442986447131261,0.42875449111064273,0.25437918305397034,73.85433197021484,717.8555920413899,1282.1444079586086,4,0.30000000000000004
600,8,302,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16546555856863657,0.006662207655608654,0.49165934324264526,2.429553270339966,0.009124837636287944,0.5019897172848383,0.16409830749034882,30.752391815185547,716.6591840035085,1283.34081599649,4,0.30000000000000004
601,8,303,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.19961745043595633,1.7692326307296753,0.43642866611480713,2.0437092781066895,0.012206979881739244,2.010149916013082,0.17017973959445953,25.16497802734375,715.4785386548298,1284.5214613451685,4,0.30000000000000004
602,8,304,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.24456643561522165,0.7489823199187716,0.41538429260253906,2.9870691299438477,0.01655017921196607,1.0551697711149852,0.2047862708568573,37.69983673095703,714.3132524245065,1285.6867475754918,4,0.30000000000000004
603,8,305,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.2675169457991918,0.5341991645594438,0.4315052330493927,1.0759738683700562,0.007755345989911196,0.5174322078625361,0.3070848882198334,22.721935272216797,713.162936880532,1286.8370631194662,3,0.25
604,8,306,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.2581178918480873,0.01878608437255025,0.40813854336738586,4.490973472595215,0.003497160825645551,1.3931128978729248,0.10556069761514664,17.377031326293945,712.0272179881571,1287.972782011841,3,0.25
605,8,307,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.2281891480088234,0.02323956849674384,0.4104369282722473,3.079611301422119,0.0015965313068591058,1.2916869670152664,0.07945955544710159,53.53144073486328,710.9057354128512,1289.0942645871469,3,0.25
606,8,308,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1865424488981565,0.016323270082163315,0.4445199966430664,4.4323859214782715,0.0011083071731263772,0.94929871459802,0.24630703032016754,13.882112503051758,709.7981418646576,1290.2018581353404,3,0.25
607,8,309,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14894901464382806,0.24854520615190268,0.5841445922851562,2.166036367416382,0.0009860077843768522,1.0448598961035411,0.5975434184074402,45.41139602661133,708.7041024810432,1291.295897518955,3,0.25
608,8,310,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1294603869318962,0.004006292515744765,0.4883438050746918,2.7982516288757324,0.0009843711789775018,0.19899036983648935,0.14662620425224304,73.29434967041016,707.6232942455778,1292.3767057544203,3,0.25
609,8,311,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1328000252445539,0.007698954626296957,0.5786576271057129,3.1176199913024902,0.00108722600270994,0.3547593653202057,0.2016797959804535,78.93736267089844,706.5554054399915,1293.4445945600066,3,0.25
610,8,312,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14154346783955893,0.007104273148191472,0.5584679841995239,4.539544105529785,0.0011239167979510967,0.42760372658570606,0.27557891607284546,65.89022064208984,705.5001351273477,1294.4998648726505,3,0.25
611,8,313,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1628105342388153,0.5034748837351799,0.6021450757980347,3.156414031982422,0.0013825457093237976,1.0191042671600978,0.34339800477027893,49.088863372802734,704.4571926642473,1295.542807335751,3,0.25
612,8,314,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.191359614332517,0.2585800299420953,0.5615013837814331,1.383669376373291,0.0015373438933844834,0.3608113080263138,0.33433178067207336,43.929832458496094,703.4262972401406,1296.5737027598577,3,0.25
613,8,315,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20115029315153757,0.2646586752186219,0.5748571157455444,2.462045431137085,0.0018674434971520288,0.5936658481756846,0.2908286154270172,45.41927719116211,702.4071774419682,1297.59282255803,6,0.2
614,8,316,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20195559412240982,0.7844056488635639,0.5135005712509155,1.3447986841201782,0.0018138804637904589,1.3626612027486165,0.29071906208992004,15.317500114440918,701.3995708424869,1298.6004291575114,6,0.2
615,8,317,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.23333249986171722,1.540760080019633,0.4926537275314331,1.7475491762161255,0.0019290265809104312,1.48939847946167,0.17971912026405334,47.51728057861328,700.4032236107587,1299.5967763892395,6,0.2
616,8,318,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.2227970908085505,0.009857589223732552,0.4642975330352783,1.7652820348739624,0.0016668996274044428,0.7883926331996918,0.06936740130186081,18.806156158447266,699.4178901433949,1300.5821098566032,6,0.2
617,8,319,216,74,0,0,0,0,0.0,0.0,0.0,0.0,0.21357029924790064,1.1694412628809612,0.45634448528289795,3.908669948577881,0.0015333763391633208,2.222466508547465,0.18434888124465942,12.244187355041504,698.4433327152478,1301.5566672847501,6,0.2
618,8,319,217,74,0,1,0,1,0.0,0.3333333333333333,0.0,1.0,0.19922447204589844,0.2719537296021978,0.5509442090988159,2.862135648727417,0.0013453687279252335,0.9055794378121694,0.4427127540111542,22.205106735229492,713.4793211483393,1286.5206788516587,6,0.2
619,8,320,217,74,0,0,0,0,0.0,0.0,0.0,0.0,0.18339509268601736,0.021480840863659978,0.531701922416687,3.174259901046753,0.0012073987163603306,0.8186984260876974,1.6603926420211792,125.6436996459961,712.3396054545669,1287.660394545431,6,0.2
620,8,321,217,74,0,0,0,0,0.0,0.0,0.0,0.0,0.2044952611128489,1.01213671763738,0.5228212475776672,4.249144554138184,0.0012453481225141634,1.2065659761428833,0.909652829170227,121.2337646484375,711.2142243153918,1288.785775684606,6,0.2
621,8,321,218,74,0,0,0,0,0.0,0.0,0.0,0.0,0.22872929026683173,0.7681659323473772,0.4726639986038208,1.435996174812317,0.0011729572628003855,1.296438197294871,0.5326746702194214,77.60297393798828,726.1028268996255,1273.8971731003724,6,0.2
